"PNUM","HHNUM","HEALTHSTATUS","RACECAT_R","EDUCCAT","EMPLOYMENT","HHWGT","MARITAL","HISPANIC","adltfscat","snapnowhh","caraccess","rural","inchhavg_r","pctpovguidehh_r","incfamavg_r","placedist_d","placedist_s","placedist_w","avg_dist_S","avg_dist_D","avg_dist_w"
1,100012,"2","1","3","1",6056.9134119,"1","0","2","1",NA,"1",4667.33,207.360088855979,4667.33,0.682,0.327358500249764,0.662,0.327358500249764,0.682,0.662
1,100015,"4","2","3","5",26741.184558,"3","0","2","0",NA,"0",1200,128.916741271262,1200,2.533,2.33203315171459,NA,1.3964620931312,1.99016666666667,NA
1,100024,"1","1","4","1",31665.579066,"3","0","2","0",NA,"0",5024.5,398.506278916061,5024.5,7.706,5.46679135822523,NA,4.30067568989358,5.93633333333333,NA
1,100026,"3","1","2","2",5686.7619773,"1","0","3","0",NA,"1",1800,142.762723066755,1800,25.75,17.2836216502629,NA,NA,NA,NA
1,100028,"3","1","1","1",1067.4314173,"1","0","4","1",NA,"0",3998,137.348983681649,2998,1.798,1.19282159461147,NA,1.11888436260602,1.42666666666667,NA
1,100031,"5","1","4","5",24517.332555,"1","0","1","0",NA,"0",7820.65184448042,620.276418597257,7820.65184448042,2.252,2.12392086659984,NA,NA,NA,NA
1,100040,"4","5","4","3",3376.1507841,"5","1","1","1",NA,"0",1500,118.968935888962,1500,2.098,1.48040599016413,NA,1.32493915933781,1.981,NA
1,100049,"1","4","6","1",1260.1732986,"1","0","1","0",NA,"0",3263.338,205.133871136721,2123.338,6.48,4.4220716916866,NA,4.45344129116554,6.522,NA
1,100053,"2","1","5","1",8672.9951913,"5","0","3","0",NA,"0",3033.33,240.581361533377,1213.33,12.053,11.6195049708217,NA,7.68358071881674,8.036,NA
1,100054,"1","1","5","1",65768.456598,"1","0","1","0",NA,"0",15000,780.911062906725,15000,2.776,1.81936447039356,NA,98.1428720647888,NA,NA
1,100055,"3","1","4","5",27100.266366,"1","0","1","0",NA,"1",2000,104.12147505423,2000,9.019,7.19521251675515,NA,18.1539985017059,23.97825,NA
1,100059,"3","1","4","3",6797.9193034,"1","1","1","0",NA,"0",5995,312.104121475054,5995,NA,NA,NA,NA,NA,NA
1,100060,"3","2","1","5",10144.732577,"1","0","1","0","0","0",1377,109.213483146067,1377,0.777,0.396035836796985,0.556,0.396035836796985,0.777,0.556
1,100061,"2","1","5","1",24662.560761,"5","0","1","0",NA,"1",3025.4,325.020590868397,3025.4,6.426,4.15711589826488,NA,2.62842058427909,4.27233333333333,NA
1,100067,"2","1","4","1",67166.09569,"5","0","2","0",NA,"0",8952.67,346.890668388763,3104.84,1.616,0.971745034388955,1.617,0.971745034388955,1.616,1.617
1,100069,"3","3","4","1",2865.9214524,"3","0","3","1",NA,"0",2822,146.915401301518,2822,2.064,1.97123655597129,NA,1.8127395022237,2.084,NA
1,100073,"3","1","4","5",3102.136918,"3","0","3","1",NA,"1",1935,153.469927296761,1935,NA,NA,NA,NA,NA,NA
1,100074,"3","1","3","1",4066.3529994,"2","0","1","0",NA,"0",6253,277.808219178082,3993,1.28,0.832331288381021,1.047,0.832331288381021,1.28,1.047
1,100076,"3","1","4","1",4422.9266924,"3","0","4","1",NA,"0",4580,238.438177874187,1080,3.068,2.15970788399565,NA,3.09894733987483,4.11966666666667,NA
1,100083,"4","1","3","5",68153.597756,"3","0","2","0",NA,"0",1523,163.616830796777,1523,6.308,5.24267338965799,NA,NA,NA,NA
1,100088,"2","1","5","1",32873.706811,"1","0","2","0",NA,"0",3600,226.296490309062,3600,1.071,0.524447069717246,0.688,0.546788980126208,1.0185,0.7525
1,100093,"2","3","5","5",6704.7742554,"1","0","4","0",NA,"0",4200,186.59755646057,4200,1.821,1.38602533845953,NA,1.54854673496156,1.74266666666667,NA
1,100095,"3","1","1","5",30372.059616,"2","0","3","0",NA,"0",1534,164.798567591764,1534,0.566,0.297061954677479,0.396,0.297061954677479,0.566,0.396
1,100104,"1","1","3","1",63686.843109,"1","0","1","0",NA,"0",12320,774.436877946569,12320,NA,NA,NA,NA,NA,NA
1,100106,"3","1","5","1",7071.9088146,"5","0","4","0",NA,"1",2613,164.253535882661,2613,3.108,2.05173432991974,NA,2.05173432991974,3.108,NA
1,100107,"3","1","1","5",1804.0044926,"1","0","1","1",NA,"0",1192.64367307287,62.0899092272209,1192.64367307287,0.418,0.280893168283866,0.294,0.280893168283866,0.418,0.294
1,100110,"3","1","3","5",945.74372202,"1","0","4","1",NA,"0",2639.98988940414,117.28944343891,2639.98988940414,4.235,3.91266319326173,NA,3.91266319326173,4.235,NA
1,100114,"1","1","6","1",28559.090522,"5","0","1","0",NA,"0",7900,848.70188003581,7900,1.519,0.815970921449075,1.005,0.815970921449075,1.519,1.005
1,100128,"3","1","1","5",19429.822763,"1","0","1","0",NA,"1",2546,201.929940515532,2546,3.324,2.15922368099187,NA,2.15922368099187,3.324,NA
1,100132,"4","5","5","5",17359.144857,"1","1","3","1",NA,"0",855.4,29.3867735470942,855.4,1,0.763113125870734,0.915,0.604269394740167,0.8075,0.7335
1,100135,"2","1","2","5",19345.128754,"5","0","1","1",NA,"1",615.77409997,48.8386596142763,307.887049985,NA,NA,NA,NA,NA,NA
1,100138,"3","1","2","5",9518.8800285,"3","0","3","1",NA,"0",6976.60057670997,195.377379044387,6217.2551265112,2.384,1.72724989048506,NA,1.72724989048506,2.384,NA
1,100140,"4","5","1","1",42644.351981,"5","1","2","0",NA,"0",21805.45279398,968.772430684043,21805.45279398,9.022,6.92131621956625,NA,2.39090729388813,3.12675,NA
1,100146,"4","1","4","1",12183.63876,"5","0","3","0",NA,"0",1260,135.362578334825,1260,NA,NA,NA,NA,NA,NA
1,100148,"4","5","2","5",2739.4328376,"4","1","1","0",NA,"0",3282.13726894144,145.818760560153,3282.13726894144,3.311,2.59397342764212,NA,2.13701643680793,2.62,NA
1,100150,"1","1","2","5",2836.1849541,"3","0","2","1","0","0",1716.33,89.3534056399132,698,NA,NA,NA,NA,NA,NA
1,100151,"4","2","5","1",3432.5519745,"1","0","1","1",NA,"1",4223,187.61940022214,4223,53.678,44.1778343324935,NA,40.5554521525702,48.604,NA
1,100155,"2","1","4","1",87900.259094,"3","0","1","0",NA,"1",10080,799.471249173827,4480,6.659,4.76356223112152,NA,13.8168799133015,16.3835,NA
1,100158,"4","3","4","1",15031.348659,"5","0","3","0",NA,"0",11970,306.857509079256,11970,1.578,1.20731906388518,NA,1.20731906388518,1.578,NA
1,100159,"4","1","3","5",3143.947322,"4","1","3","1",NA,"0",212.786485140315,13.375787436793,212.786485140315,5.977,4.08642953859922,NA,2.17765292175361,3.33466666666667,NA
1,100162,"4","2","4","3",30424.641954,"5","0","3","0","0","0",1120,120.322291853178,1120,0.478,0.472645865043849,0.478,0.472645865043849,0.478,0.478
1,100163,"4","1","3","1",3126.6637728,"5","1","1","1",NA,"0",3640,228.810895756941,3640,6.664,5.7697472323807,NA,NA,NA,NA
1,100167,"5","1","1","5",1828.7031141,"3","0","4","0",NA,"0",2680,212.557832121613,680,NA,NA,NA,NA,NA,NA
1,100174,"3","4","2","1",6158.0037121,"3","0","2","1",NA,"1",1574,81.943600867679,774,7.325,6.19766601190525,NA,NA,NA,NA
1,100183,"4","1","3","5",1506.2550174,"1","0","3","0",NA,"1",877.5,38.9855609033691,877.5,20.382,13.3999529755372,NA,7.4003176606436,11.0635,NA
1,100186,"3","1","3","1",56074.913737,"5","0","1","0",NA,"0",5680,610.205908683975,5680,1.139,0.962463688719776,1.13,0.977445900247905,1.19766666666667,NA
1,100188,"2","1","5","5",5473.023086,"2","1","1","0",NA,"0",2300,182.419035029742,2300,1.531,1.11832734641327,NA,1.26357024051817,1.501,NA
1,100192,"1","1","5","1",2294.6551042,"3","0","3","1",NA,"0",2673.338,103.584294478528,2673.338,NA,NA,NA,NA,NA,NA
